id,depart,arrival,duration,waitingTime,timeLoss,routeLength
526,2630.0,2640.0,10.0,0.0,6.86,65.93
422,2110.0,2644.0,534.0,480.0,513.34,427.72
471,2355.0,2647.0,292.0,183.0,247.46,971.73
505,2525.0,2651.0,126.0,65.0,101.94,636.17
472,2360.0,2656.0,296.0,144.0,226.48,1526.21
481,2405.0,2657.0,252.0,132.0,205.58,1307.31
480,2400.0,2663.0,263.0,159.0,220.56,1024.3
492,2460.0,2666.0,206.0,150.0,187.99,514.3
443,2215.0,2667.0,452.0,370.0,426.76,694.38
485,2425.0,2670.0,245.0,156.0,213.72,900.59
494,2470.0,2677.0,207.0,120.0,179.56,840.88
513,2565.0,2686.0,121.0,54.0,88.93,904.22
498,2490.0,2687.0,197.0,100.0,166.05,865.74
506,2530.0,2687.0,157.0,55.0,115.48,1017.73
490,2450.0,2689.0,239.0,122.0,196.87,1065.29
457,2285.0,2706.0,421.0,314.0,391.63,789.16
459,2295.0,2706.0,411.0,335.0,369.52,666.99
523,2615.0,2706.0,91.0,46.0,69.39,360.05
383,1915.0,2708.0,793.0,734.0,772.59,539.7
504,2520.0,2708.0,188.0,125.0,168.14,563.07
489,2445.0,2709.0,264.0,139.0,202.18,1367.06
