id,depart,arrival,duration,waitingTime,timeLoss,routeLength,ai
574,1148.0,1392.0,244.0,112.0,181.62,1310.92,results/tripinfo_ai.xml
584,1168.0,1393.0,225.0,121.0,180.25,942.3,results/tripinfo_ai.xml
669,1374.0,1402.0,28.0,4.0,17.0,240.28,results/tripinfo_ai.xml
683,1366.0,1402.0,36.0,2.0,20.64,313.01,results/tripinfo_ai.xml
642,1284.0,1403.0,119.0,31.0,77.7,1142.29,results/tripinfo_ai.xml
697,1394.0,1405.0,11.0,0.0,5.75,128.12,results/tripinfo_ai.xml
696,1392.0,1417.0,25.0,0.0,13.58,309.82,results/tripinfo_ai.xml
433,866.0,1449.0,583.0,441.0,533.87,1075.89,results/tripinfo_ai.xml
575,1150.0,1449.0,299.0,201.0,262.74,913.5,results/tripinfo_ai.xml
651,1302.0,1450.0,148.0,101.0,126.88,563.15,results/tripinfo_ai.xml
548,1096.0,1455.0,359.0,249.0,328.97,919.13,results/tripinfo_ai.xml
594,1210.0,1455.0,245.0,176.0,223.76,487.88,results/tripinfo_ai.xml
687,1374.0,1455.0,81.0,53.0,71.78,238.65,results/tripinfo_ai.xml
383,766.0,1456.0,690.0,608.0,666.91,520.41,results/tripinfo_ai.xml
611,1222.0,1456.0,234.0,164.0,212.14,594.39,results/tripinfo_ai.xml
535,1070.0,1458.0,388.0,253.0,324.06,1435.55,results/tripinfo_ai.xml
660,1320.0,1458.0,138.0,86.0,120.69,389.48,results/tripinfo_ai.xml
685,1370.0,1459.0,89.0,70.0,83.5,102.69,results/tripinfo_ai.xml
630,1260.0,1461.0,201.0,139.0,182.98,506.43,results/tripinfo_ai.xml
665,1330.0,1465.0,135.0,100.0,119.07,359.45,results/tripinfo_ai.xml
576,1152.0,1466.0,314.0,195.0,266.38,1322.88,results/tripinfo_ai.xml
597,1194.0,1466.0,272.0,152.0,225.6,1105.29,results/tripinfo_ai.xml
547,1094.0,1467.0,373.0,244.0,329.36,997.66,results/tripinfo_ai.xml
605,1210.0,1470.0,260.0,139.0,211.88,1088.44,results/tripinfo_ai.xml
563,1126.0,1471.0,345.0,175.0,274.23,1550.81,results/tripinfo_ai.xml
603,1206.0,1474.0,268.0,168.0,232.13,799.22,results/tripinfo_ai.xml
612,1224.0,1474.0,250.0,150.0,213.89,869.1,results/tripinfo_ai.xml
486,972.0,1476.0,504.0,369.0,466.66,1145.32,results/tripinfo_ai.xml
689,1378.0,1478.0,100.0,55.0,79.26,485.54,results/tripinfo_ai.xml
656,1312.0,1481.0,169.0,79.0,132.36,900.43,results/tripinfo_ai.xml
